Date,AMZNAdjCloseAMZN,AMZNVolumeAMZN,ACNAdjCloseACN,ACNVolumeACN,NVDAAdjCloseNVDA,NVDAVolumeNVDA,AAPLAdjCloseAAPL,AAPLVolumeAAPL,GOOGLAdjCloseGOOGL,GOOGLVolumeGOOGL
2024-04-30 00:00:00+00:00,175.0,94639800,298.381591796875,5225000,86.38751220703125,363709000,169.90261840820312,65934800,162.3779296875,33562900
2024-05-01 00:00:00+00:00,179.0,94645100,296.1505126953125,2617200,83.0270767211914,559863000,168.87521362304688,50383100,163.4552459716797,33493200
2024-05-02 00:00:00+00:00,184.72000122070312,54303500,297.81634521484375,2684200,85.8026123046875,377898000,172.59585571289062,94214900,166.20843505859375,24294500
2024-05-03 00:00:00+00:00,186.2100067138672,39172000,301.1580505371094,2767100,88.77411651611328,398341000,182.9198760986328,163224100,166.826904296875,34662400
2024-05-06 00:00:00+00:00,188.6999969482422,34725300,303.4883117675781,2361300,92.12454986572266,376203000,181.2540740966797,78569700,167.68479919433594,21871300
2024-05-07 00:00:00+00:00,188.75999450683594,34048900,308.0496826171875,2483600,90.538818359375,437342000,181.9423370361328,77305800,170.82699584960938,28039700
2024-05-08 00:00:00+00:00,188.0,26136400,309.36846923828125,2296400,90.39684295654297,325721000,182.281494140625,45057100,168.96163940429688,19569100
2024-05-09 00:00:00+00:00,189.5,43368400,304.03369140625,3238100,88.73212432861328,378013000,184.10690307617188,48983000,169.54019165039062,15346700
2024-05-10 00:00:00+00:00,187.47999572753906,34141800,303.75604248046875,1786900,89.86292266845703,335325000,182.83836364746094,50759500,168.23342895507812,29799900
2024-05-13 00:00:00+00:00,186.57000732421875,24898600,304.82696533203125,1695000,90.38385009765625,289680000,186.06463623046875,72044800,168.7222137451172,31327600
2024-05-14 00:00:00+00:00,187.07000732421875,38698200,304.3708190917969,1813600,91.34068298339844,296507000,187.2133026123047,52393600,169.91925048828125,25127100
